Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a salmon,1,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,2,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,3,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,4,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,5,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,6,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,7,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,8,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
a salmon,9,1.0,25,36,Simplicity,1,0.16,-66.08674146191065,1,1.0
an eagle,1,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,2,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,3,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,4,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,5,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,6,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,7,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,8,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
an eagle,9,1.0,25,36,Simplicity,1,0.16,-73.5114436944188,1,1.0
a seal,1,6.88,25,36,Simplicity,4,0.16,-151.0996895229993,1,0.7792
a seal,2,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,3,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,4,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,5,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,6,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,7,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,8,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
a seal,9,2.0,25,36,Simplicity,2,0.16,-123.65956491409588,1,0.9232
an ostrich,1,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,2,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,3,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,4,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,5,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,6,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,7,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,8,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
an ostrich,9,1.0,25,36,Simplicity,1,0.16,-53.05817514069428,1,1.0
a whale,1,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,2,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,3,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,4,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,5,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,6,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,7,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,8,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a whale,9,1.0,25,36,Simplicity,1,0.16,-61.06946162509571,1,1.0
a chicken,1,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,2,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,3,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,4,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,5,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,6,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,7,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,8,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a chicken,9,1.0,25,36,Simplicity,1,0.16,-78.32774916588644,1,1.0
a penguin,1,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,2,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,3,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,4,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,5,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,6,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,7,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,8,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a penguin,9,1.0,25,36,Simplicity,1,0.16,-85.36830219192979,1,1.0
a robin,1,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,2,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,3,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,4,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,5,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,6,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,7,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,8,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a robin,9,1.0,25,36,Simplicity,1,0.16,-69.08074810949716,1,1.0
a finch,1,1.0,25,36,Simplicity,1,0.16,-89.14986745675697,1,1.0
a finch,2,1.0,25,36,Simplicity,1,0.16,-89.14986745675697,1,1.0
a finch,3,2.0,25,36,Simplicity,2,0.16,-90.85964735861656,1,0.9232
a finch,4,2.0,25,36,Simplicity,2,0.16,-90.85964735861656,1,0.9232
a finch,5,1.0,25,36,Simplicity,1,0.16,-89.14986745675697,1,1.0
a finch,6,2.0,25,36,Simplicity,2,0.16,-90.85964735861656,1,0.9232
a finch,7,1.0,25,36,Simplicity,1,0.16,-89.14986745675697,1,1.0
a finch,8,2.0,25,36,Simplicity,2,0.16,-90.85964735861656,1,0.9232
a finch,9,2.0,25,36,Simplicity,2,0.16,-90.85964735861656,1,0.9232
a dolphin,1,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,2,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,3,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,4,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,5,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,6,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,7,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,8,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
a dolphin,9,1.0,25,36,Simplicity,1,0.16,-56.05218178828079,1,1.0
Hillary Clinton,1,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,2,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,3,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,4,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,5,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,6,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,7,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,8,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Hillary Clinton,9,1.0,22,36,Simplicity,1,0.16,-99.48402668666773,1,1.0
Donald Trump,1,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,2,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,3,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,4,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,5,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,6,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,7,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,8,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Donald Trump,9,1.0,9,36,Simplicity,1,0.16,-68.2439074601848,1,1.0
Joe Biden,1,2.0,24,36,Simplicity,2,0.16,-111.761458160616,1,0.8472222222222221
Joe Biden,2,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,3,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,4,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,5,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,6,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,7,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,8,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Joe Biden,9,1.0,24,36,Simplicity,1,0.16,-100.54725298703656,1,1.0
Elizabeth Warren,1,3.0,21,36,Simplicity,3,0.16,-171.4243014611613,1,0.5510204081632654
Elizabeth Warren,2,2.0,21,36,Simplicity,2,0.16,-147.67007565889855,1,0.8276643990929706
Elizabeth Warren,3,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Elizabeth Warren,4,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Elizabeth Warren,5,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Elizabeth Warren,6,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Elizabeth Warren,7,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Elizabeth Warren,8,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Elizabeth Warren,9,1.0,21,36,Simplicity,1,0.16,-122.8606712816333,1,1.0
Ronald Reagan,1,2.0,25,36,Simplicity,2,0.16,-159.89602511087804,1,0.7888
Ronald Reagan,2,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,3,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,4,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,5,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,6,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,7,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,8,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Ronald Reagan,9,1.0,25,36,Simplicity,1,0.16,-148.0206385933299,1,1.0
Bernie Sanders,1,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,2,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,3,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,4,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,5,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,6,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,7,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,8,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
Bernie Sanders,9,1.0,25,36,Simplicity,1,0.16,-111.50467658987273,1,1.0
George W. Bush,1,2.0,22,36,Simplicity,2,0.16,-135.1624892586598,1,0.6033057851239669
George W. Bush,2,2.0,22,36,Simplicity,2,0.16,-128.92365160931715,1,0.8347107438016528
George W. Bush,3,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
George W. Bush,4,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
George W. Bush,5,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
George W. Bush,6,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
George W. Bush,7,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
George W. Bush,8,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
George W. Bush,9,1.0,22,36,Simplicity,1,0.16,-97.52443236022242,1,1.0
Barack Obama,1,3.0,25,36,Simplicity,3,0.16,-194.63719560718556,1,0.4528
Barack Obama,2,2.0,25,36,Simplicity,2,0.16,-174.5095131737195,1,0.5392
Barack Obama,3,2.0,25,36,Simplicity,2,0.16,-174.5095131737195,1,0.5392
Barack Obama,4,2.0,25,36,Simplicity,2,0.16,-175.8180155822182,1,0.52
Barack Obama,5,2.0,25,36,Simplicity,2,0.16,-176.44192461380965,1,0.52
Barack Obama,6,2.0,25,36,Simplicity,2,0.16,-176.6160495932127,1,0.5008
Barack Obama,7,2.0,25,36,Simplicity,2,0.16,-180.08392671170668,1,0.5008
Barack Obama,8,2.0,25,36,Simplicity,2,0.16,-176.44192461380965,1,0.52
Barack Obama,9,2.0,25,36,Simplicity,2,0.16,-179.4253837530518,1,0.5648000000000001
Abraham Lincoln,1,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,2,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,3,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,4,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,5,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,6,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,7,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,8,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Abraham Lincoln,9,1.0,25,36,Simplicity,1,0.16,-71.1040212987256,1,1.0
Richard Nixon,1,3.0,24,36,Simplicity,3,0.16,-147.85551403465342,1,0.7118055555555557
Richard Nixon,2,2.0,24,36,Simplicity,2,0.16,-128.14246587895457,1,0.78125
Richard Nixon,3,2.0,24,36,Simplicity,2,0.16,-128.14246587895457,1,0.78125
Richard Nixon,4,2.0,24,36,Simplicity,2,0.16,-128.14246587895457,1,0.78125
Richard Nixon,5,2.0,24,36,Simplicity,2,0.16,-128.14246587895457,1,0.78125
Richard Nixon,6,2.0,24,36,Simplicity,2,0.16,-128.14246587895457,1,0.78125
Richard Nixon,7,2.0,24,36,Simplicity,2,0.16,-132.14378496433812,1,0.8472222222222221
Richard Nixon,8,2.0,24,36,Simplicity,2,0.16,-128.14246587895457,1,0.78125
Richard Nixon,9,2.0,24,36,Simplicity,2,0.16,-132.62853354701102,1,0.6701388888888888
a salmon,1,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,2,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,3,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,4,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,5,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,6,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,7,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,8,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
a salmon,9,1.0,50,36,Simplicity,1,0.16,-90.84854961110305,1,1.0
an eagle,1,2.0,50,36,Simplicity,2,0.16,-160.79827258911365,1,0.6152
an eagle,2,2.0,50,36,Simplicity,2,0.16,-159.2284863960516,1,0.6152
an eagle,3,2.0,50,36,Simplicity,2,0.16,-151.0897714249007,1,0.8872
an eagle,4,1.0,50,36,Simplicity,1,0.16,-115.47142565879332,1,1.0
an eagle,5,1.0,50,36,Simplicity,1,0.16,-115.47142565879332,1,1.0
an eagle,6,1.0,50,36,Simplicity,1,0.16,-115.47142565879332,1,1.0
an eagle,7,1.0,50,36,Simplicity,1,0.16,-115.47142565879332,1,1.0
an eagle,8,1.0,50,36,Simplicity,1,0.16,-115.47142565879332,1,1.0
an eagle,9,1.0,50,36,Simplicity,1,0.16,-115.47142565879332,1,1.0
a seal,1,3.0,50,36,Simplicity,3,0.16,-177.7027065017028,1,0.8504
a seal,2,3.0,50,36,Simplicity,3,0.16,-177.3571009345168,1,0.8168
a seal,3,3.98,50,36,Simplicity,3,0.16,-172.41593607580526,1,0.9223999999999999
a seal,4,2.0,50,36,Simplicity,2,0.16,-156.43822328346963,1,0.9607999999999999
a seal,5,2.0,50,36,Simplicity,2,0.16,-156.43822328346963,1,0.9607999999999999
a seal,6,2.0,50,36,Simplicity,2,0.16,-156.43822328346963,1,0.9607999999999999
a seal,7,2.0,50,36,Simplicity,2,0.16,-156.43822328346963,1,0.9607999999999999
