Concept,Iteration,S_Chao1,NumberOfPeople,NumberOfTrials,Prior,Tables,Alpha,Posterior,Chain,ProbabilityOfSameTable
a finch,6,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,7,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,8,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,9,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
Joe Biden,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Bernie Sanders,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
George W. Bush,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,1,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,2,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,3,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Abraham Lincoln,4,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,5,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,6,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,7,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,8,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Abraham Lincoln,9,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Richard Nixon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,1,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,2,2.3333333333333335,3,36,Simplicity,2,0.16,-78.14099496035679,1,0.5555555555555556
an ostrich,3,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,4,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,5,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,6,2.3333333333333335,3,36,Simplicity,2,0.16,-80.12199642922337,1,0.5555555555555556
an ostrich,7,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,8,1.0,3,36,Simplicity,1,0.16,-80.12447016346253,1,1.0
an ostrich,9,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
a whale,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a penguin,1,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
a penguin,2,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
a penguin,3,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
a penguin,4,4.5,4,36,Simplicity,3,0.16,-102.49958635276818,1,0.375
a penguin,5,4.5,4,36,Simplicity,3,0.16,-102.49958635276818,1,0.375
a penguin,6,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
a penguin,7,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
a penguin,8,4.5,4,36,Simplicity,3,0.16,-102.49958635276818,1,0.375
a penguin,9,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
a robin,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a robin,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a finch,1,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,2,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,3,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,4,2.0,4,36,Simplicity,2,0.16,-96.05330428296294,1,0.625
a finch,5,2.0,4,36,Simplicity,2,0.16,-96.05330428296294,1,0.625
a finch,6,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,7,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
a finch,8,2.0,4,36,Simplicity,2,0.16,-96.05330428296294,1,0.625
a finch,9,1.0,4,36,Simplicity,1,0.16,-94.50854629168681,1,1.0
Joe Biden,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Joe Biden,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Elizabeth Warren,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Bernie Sanders,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
Bernie Sanders,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
George W. Bush,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
George W. Bush,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Barack Obama,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Abraham Lincoln,1,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,2,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,3,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Abraham Lincoln,4,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Abraham Lincoln,5,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Abraham Lincoln,6,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
Abraham Lincoln,7,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,8,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Abraham Lincoln,9,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
Richard Nixon,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
Richard Nixon,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a salmon,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a salmon,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,1,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,2,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,3,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,4,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,5,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,6,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,7,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,8,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
an eagle,9,2.5,2,36,Simplicity,2,0.16,-50.59974418087606,1,0.5
a seal,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a seal,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
an ostrich,1,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,2,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,3,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,4,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,5,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,6,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,7,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,8,5.0,3,36,Simplicity,3,0.16,-76.65165496970222,1,0.3333333333333333
an ostrich,9,2.3333333333333335,3,36,Simplicity,2,0.16,-78.14099496035679,1,0.5555555555555556
a whale,1,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,2,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,3,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,4,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,5,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,6,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,7,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,8,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a whale,9,1.0,1,36,Simplicity,1,0.16,-24.953298500158056,1,1.0
a penguin,1,8.5,4,36,Simplicity,4,0.16,-102.99124783098017,1,0.25
a penguin,2,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
a penguin,3,4.5,4,36,Simplicity,3,0.16,-102.49958635276816,1,0.375
